id,temp_2007,temp_2008,temp_2009,temp_2010,temp_2011,temp_2012,temp_2013,temp_2014,temp_2015,temp_2016,temp_2017,temp_2018
68524,22.5699119567871,22.0032453536987,22.4699125289917,22.235971450805696,22.5707807540894,22.985363960266103,22.7660055160522,23.4832801818848,23.236839294433604,23.0353631973267,22.9847555160522,22.687707901001
68533,20.1291289329529,19.575222492218,20.0327744483948,19.804388999939,20.12730550765989,20.54449367523189,20.331732273101803,21.040066242218,20.7981390953064,20.6062126159668,20.541889190673803,20.2418894767761
68547,20.6480770111084,20.0499877929688,20.728929519653303,20.406324386596697,20.644258022308303,21.0713415145874,20.9585809707642,21.550334930419897,21.3585815429688,21.229241371154803,21.0503339767456,20.7503337860107
68549,22.5410242080688,21.973055839538603,22.447795867919897,22.227222442627,22.5376386642456,22.9642019271851,22.778003692627,23.461337089538603,23.2209730148315,23.0306081771851,22.9647216796875,22.664722442627
68572,16.872499942779502,16.7406983375549,17.5969486236572,17.0189123153687,17.3220362663269,17.5031981468201,17.3517246246338,17.8107814788818,18.0165677070618,17.8720364570618,17.7414789199829,17.2414798736572
68573,28.4434175491333,27.890833854675304,28.7761678695679,28.393177986145,28.6229267120361,28.852008819580103,28.7309160232544,29.323103904724103,29.4041776657104,29.3752708435059,28.8270111083984,28.5887298583984
68575,28.6364908218384,28.241392135620103,29.06123065948489,28.8381786346436,28.75512599945069,29.0480356216431,29.0309753417969,29.565657615661603,29.5479221343994,29.55512714385989,29.068696975708,28.754114151001
68615,27.754481315612804,27.428087234497102,28.379563331604,27.8744602203369,27.9590663909912,28.2563018798828,28.1011810302734,28.6648979187012,28.7724342346191,28.780505180358897,28.4224452972412,27.9224462509155
68655,28.3121385574341,27.932684898376497,28.843324661254897,28.5285186767578,28.5070734024048,28.73766040802,28.7272167205811,29.2433891296387,29.303427696228,29.320354461669897,28.8698873519897,28.4264612197876
68669,15.2895512580872,14.8805470466614,15.7367968559265,15.4037079811096,15.476354598999,15.6852340698242,15.6044898033142,16.1567397117615,16.1505737304688,16.0638546943665,15.9024214744568,15.402422428131098
68673,22.5815839767456,22.0050220489502,22.5120534896851,22.2933025360107,22.6198654174805,23.0081462860107,22.8198652267456,23.4933032989502,23.3011150360107,23.0886154174805,23.024552345275897,22.7964277267456
68679,20.9095864295959,20.3483891487122,20.970040798187306,20.6108884811401,20.9004721641541,21.3280763626099,21.1642742156982,21.8226075172424,21.596305847168,21.4200038909912,21.331722259521506,21.031721591949506
68682,16.982114315032998,16.6233510971069,17.4481344223022,17.1296005249023,17.2720341682434,17.410027503967303,17.3623261451721,17.8687467575073,17.9753332138062,17.869690895080602,17.644835948944102,17.1448354721069
68684,18.2409639358521,18.0148482322693,18.8490490913391,18.4676976203918,18.7095112800598,18.8065147399902,18.6809787750244,19.100513458252,19.377393245697,19.2812128067017,19.0590324401855,18.5590319633484
68686,16.394898891449,16.1397972106934,16.947609901428198,16.641170501709002,16.863655090332,16.8981304168701,16.8690347671509,17.2558369636536,17.5329256057739,17.4589667320251,17.162453651428198,16.662452697753903
