id,prec_2007,prec_2008,prec_2009,prec_2010,prec_2011,prec_2012,prec_2013,prec_2014,prec_2015,prec_2016,prec_2017,prec_2018
5368,215.9668734868366,291.6616649627687,186.85879071553543,234.48524769147238,270.35178375244135,181.9327220916748,188.04845078786204,179.14122200012216,137.80640602111814,161.76683108011875,182.32353337605798,201.54616641998282
5376,209.53462251027437,282.38897768656415,184.12365086873376,234.2321404616038,264.76785024007154,176.65838623046872,185.1736675898234,172.78179931640628,135.3749450047812,158.081486384074,175.4169979095459,197.30932648976628
5380,220.78084913889555,297.2611408233646,196.35797373453758,242.8452269236246,278.5287144978841,188.05289459228493,196.90534496307373,184.44319025675452,144.7531906763712,165.86027908325215,189.01887575785315,208.19855022430417
5390,198.9828084309897,270.0310808817547,174.78581047058103,219.43136946360266,250.34474309285483,167.02659861246732,175.42353026072183,166.13012123107916,127.00944232940664,151.0073060989379,169.3701801300049,189.23612531026205
5400,217.3473469416301,297.53451855977363,194.96054967244467,245.41114536921177,282.04380098978686,186.04586029052737,195.24898306528715,182.7718658447267,142.6397409439088,165.8078397115071,181.99890963236496,209.7626031239828
5411,229.9676644007367,300.86111100514705,198.5564104715983,250.2533288002015,289.7968260447184,193.2793019612631,200.24354966481522,185.87663396199545,146.16572316487643,167.58989238739008,194.1239554087323,211.8435662587485
5425,250.98070081075036,317.13013712565095,239.78315925598147,303.21994098027545,348.69434611002606,240.9706548055012,229.02546691894545,209.3751392364501,175.2808354695638,191.135410308838,214.47334035237634,245.66913159688303
5440,210.80869611104333,281.4813810984295,191.82512728373217,239.35101191202799,274.5061130523682,183.67344411214208,190.84852917989096,176.6458829243978,140.86432902018228,161.323694229126,178.41614596048987,203.22632185618076
5467,220.2262032826743,292.94845199584955,195.41383616129556,243.8617726961771,281.17686398824065,189.00488281249997,194.39725430806473,184.60921478271487,144.41187858581546,166.1578057607015,186.023453394572,208.0288769404093
5475,409.3944727579754,531.208496729533,338.5037784576417,393.55862553914386,478.7839622497559,335.7052383422853,340.93418757120764,320.6903044382732,245.0196431477864,305.84410444895406,367.3558184305826,359.8836199442546
5480,348.16589387257903,413.5398031870525,273.99442545572896,336.63739967346174,426.6372610727946,280.51644961039204,271.1692644755045,256.45644251505524,204.48582776387522,246.7717243830363,294.533753712972,289.35076395670575
5483,235.14643001556408,310.05558776855474,212.99699020385745,268.14495730400085,309.26105244954425,205.333147684733,211.99430465698234,203.17290306091311,156.99444580078125,177.8394034703571,197.3247928619386,221.78107452392567
5490,234.2314774195353,192.74725484848014,143.98616345723468,220.94911003112793,247.784589290619,165.87664445241296,149.02660004297883,139.15234804153442,121.97054910659794,147.72539027531948,166.3650687535603,168.3414435386657
5495,331.892585436503,340.24409357706696,247.81651941935226,391.9385412534079,396.32048765818286,285.9712077776591,252.7189842859905,220.31080722808838,189.85285123189286,230.51356951395664,262.82839552561455,274.88432629903167
5501,232.8335151672364,301.72498257954925,199.20730209350575,247.47285238901762,281.75774065653485,190.829508781433,198.17247072855614,181.96676190694168,146.31566524505624,169.32291539510092,196.96214167277017,210.53738943735755
5541,233.12700303395582,310.56954383850103,212.43522326151526,268.40619961420697,308.46926879882807,205.5816790262858,210.84812323252368,195.17664464314785,156.64525381724042,178.18411350250258,195.29919815063454,225.04154936472582
