municipal,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,cases_2007,cases_2008,cases_2009,cases_2010,cases_2011,cases_2012,cases_2013,cases_2014,cases_2015,cases_2016,cases_2017,cases_2018,cases_2019,age_0_to_4,age_5_to_14,age_15_to_29,age_30_and_up,illiterate,secondary_education,employed,unemployed,men,women,households_without_water_access,households_without_internet_access,houses_per_km2
tausa,7608,7646,7707,7772,7861,7927,7973,8027,8024,8019,7998,8067,8354,0,0,0,0,0,1,0,0,0,0,0,0,0,7.91,17.97,25.88,48.24,5.26,39.02,35.62,1.07,52.25,47.75,15.16,67.97,9.833333
tena,7860,7960,8016,8070,8035,7960,7921,7954,8118,8426,8908,9567,10065,1,0,1,35,2,10,48,20,13,35,2,3,22,5.93,13.81,21.28,58.97,5.9,48.59,43.25,1.55,51.26,48.74,5.17,63.16,54.290909
tenjo,17653,17934,18176,18353,18083,17286,17235,17903,19068,20336,21250,21935,23052,0,0,2,2,0,0,0,0,0,0,0,1,0,6.24,15.02,26.3,52.44,2.16,60.84,50.55,3.18,49.21,50.79,1.86,50.23,57.314815
tibacuy,4455,4467,4486,4492,4502,4421,4400,4372,4396,4375,4328,4335,4477,0,0,0,12,0,0,0,2,5,74,0,0,3,4.82,14.86,19.09,61.23,8.54,44.8,37.09,5.58,51.77,48.23,21.55,70.55,19.654762
tibirita,3054,3093,3109,3138,3122,3092,3067,3089,3088,3102,3099,3158,3207,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,13.57,16.24,66.26,7.3,35.22,16.56,8.49,49.32,50.68,25.66,46.68,17.052632
tocaima,17136,17430,17740,18034,18323,18490,18621,18649,18205,17186,16136,15735,16136,8,43,3,130,17,32,142,205,78,46,28,104,134,5.14,14.11,20.96,59.78,8.48,47.71,39.1,3.89,50.11,49.89,9.53,60.82,25.044715
tocancipa,25484,25829,26210,26594,26996,27369,27855,28657,30138,32817,36426,39996,43020,0,0,1,3,1,2,1,1,0,0,0,0,1,7.7,16.67,30.15,45.49,2.53,63.32,48.3,4.84,49.74,50.26,0.92,43.4,146.287671
topaipi,4860,4909,4940,4953,4760,4387,4202,4180,4159,4136,4122,4139,4189,0,0,0,2,0,0,1,9,94,15,0,0,5,5.15,14.19,18.63,62.03,13.03,33.02,42.13,1.39,53.55,46.45,53.65,75.41,9.5
ubala,12109,12231,12325,12396,12460,12386,12145,11480,10120,8692,7919,7717,7696,0,0,0,16,1,1,4,1,0,1,0,0,26,5.27,15.72,23.87,55.14,7.86,36.08,34.34,2.61,53.42,46.58,44.74,58.01,4.730693
ubaque,6636,6645,6680,6741,6765,6772,6767,6777,6758,6740,6691,6727,6875,0,0,0,1,2,1,0,1,1,0,0,1,0,5.32,15.6,20.34,58.73,6.4,38.39,39.26,1.85,52.44,47.56,25.75,58.81,20.361905
villa de san diego de ubate,34454,35008,35625,36258,36901,37355,37925,38698,39520,40437,41379,42558,44802,0,0,0,4,0,0,1,0,0,0,0,0,1,7.19,17.6,26.16,49.05,3.52,54.01,43.32,3.06,48.62,51.38,2.22,66.66,117.098039
une,8358,8478,8605,8715,8844,8898,8860,8644,8027,7361,6995,6945,7144,0,0,0,2,0,0,0,0,0,0,0,0,1,6.13,14.98,24.24,54.65,4.58,43.34,41.1,4.35,52.39,47.61,15.19,73.58,10.322275
utica,4463,4535,4611,4666,4686,4666,4679,4708,4670,4542,4340,4246,4324,9,4,0,46,9,7,15,87,143,19,4,5,15,4.86,12.57,19.27,63.29,11.86,41.77,38.94,2.53,52.18,47.82,25.34,65.65,15.641304000000002
vergara,7063,7059,7109,7119,7088,6947,6864,6868,6877,6859,6826,6847,6975,0,19,0,0,5,2,6,3,29,288,1,0,3,4.52,14.17,17.57,63.75,11.48,34.09,31.07,1.95,52.47,47.53,49.9,72.94,14.746575
viani,4198,4242,4285,4326,4313,4229,4218,4230,4264,4290,4283,4339,4497,0,1,1,14,1,19,5,6,34,35,1,1,1,5.6,14.27,19.0,61.14,6.46,41.25,40.38,2.15,51.73,48.27,37.18,68.59,19.382353
villagomez,2210,2232,2253,2267,2171,2005,1914,1883,1832,1771,1752,1758,1783,0,0,0,0,0,0,0,0,3,2,0,0,0,4.67,16.18,18.87,60.28,8.76,42.0,33.29,9.64,51.75,48.25,34.27,59.7,9.507692
villapinzon,16494,16647,16803,16952,16942,16693,16619,16719,16834,16901,16961,17187,17796,0,0,0,1,0,0,1,0,0,0,0,0,0,7.52,18.52,25.6,48.36,3.78,44.29,34.05,4.41,50.54,49.46,8.7,68.42,18.068273
villeta,25088,25504,25950,26395,26803,27071,27334,27547,27518,27132,26767,26873,27986,68,29,83,588,50,298,97,447,236,70,64,161,179,5.79,14.74,22.53,56.93,5.22,53.45,43.22,3.99,50.04,49.96,10.02,59.91,64.34042600000001
viota,13368,13485,13624,13705,13542,13096,12913,12952,13005,13075,13072,13234,13508,10,30,4,84,24,37,51,76,34,25,13,4,150,5.6,15.49,19.31,59.6,8.21,42.78,39.26,3.61,51.37,48.63,17.02,70.01,21.783654
yacopi,16734,16918,17078,17204,16942,16325,15988,15632,14806,13615,12659,12322,12367,2,4,3,60,3,0,17,2,14,83,11,1,81,5.52,15.78,18.58,60.12,16.56,30.87,35.68,4.65,52.19,47.81,42.27,69.75,3.531507
zipacon,5179,5238,5317,5340,5146,4729,4593,4600,4626,4611,4616,4659,4836,0,1,1,1,0,0,1,0,0,0,0,1,1,6.22,14.53,22.27,56.97,5.68,50.8,42.72,2.83,51.03,48.97,10.79,71.69,20.485714
zipaquira,101737,101933,102548,103756,106595,112130,116171,118650,121071,123787,126819,130537,138654,1,1,1,10,10,3,9,4,1,3,0,1,1,7.05,14.94,26.69,51.31,2.4,64.36,43.83,5.64,48.49,51.51,1.59,37.94,205.324873
quibdo,119787,122448,124805,126838,127949,127091,126810,127366,127773,128198,128913,129237,130042,18,5,13,152,29,24,60,60,55,72,12,5,57,10.0,19.7,29.32,40.99,8.74,56.96,29.89,7.77,46.33,53.67,59.89,54.41,10.516632
acandi,11221,11760,12177,12547,12792,12905,13058,13239,13404,13611,13840,13999,14085,0,1,0,2,5,0,1,15,1,6,2,14,12,10.07,22.71,24.99,42.23,8.69,43.8,30.25,5.66,49.81,50.19,29.09,59.89,2.415861
alto baudo,30241,30872,31563,32114,32108,31082,29922,28687,27588,27129,27261,27584,27982,0,0,0,5,1,4,0,1,2,4,1,1,1,12.86,27.96,29.23,29.96,19.99,25.97,8.29,3.35,50.1,49.9,78.69,89.15,3.467363
atrato,5756,5904,6012,6019,5912,5657,5475,5455,5529,5717,5908,6063,6145,0,2,1,1,0,1,0,8,3,16,0,1,4,9.64,20.67,27.49,42.2,14.21,43.98,28.61,5.56,50.59,49.41,39.7,72.75,2.253793
bagado,8392,8670,8966,9295,9581,9709,9926,10135,10318,10537,10785,11011,11149,0,1,0,1,1,0,0,1,12,31,4,2,1,15.14,27.96,24.74,32.16,21.03,27.34,17.8,1.63,50.01,49.99,64.4,77.51,3.732304
bahia solano,10090,10605,11073,11464,11643,11383,10872,10331,10029,9968,10045,10123,10207,1,0,1,3,0,0,0,4,5,5,9,4,11,10.42,21.09,27.69,40.8,8.84,47.97,33.83,2.38,50.95,49.05,15.19,69.14,1.494901
bajo baudo,18171,19023,19899,20870,22266,24679,26570,27438,27959,28558,29321,29957,30263,0,0,0,1,6,1,13,75,108,12,1,4,5,13.3,27.68,26.01,33.0,20.73,30.13,18.43,3.53,50.73,49.27,60.54,88.55,0.905992
bojaya,10510,10737,10833,10921,11014,10988,11063,11209,11337,11515,11789,12073,12212,0,0,0,2,0,0,0,0,4,4,0,7,2,15.79,28.94,26.22,29.05,15.74,28.69,16.99,4.24,51.32,48.68,71.76,85.42,0.773626
el canton del san pablo,4833,4952,5043,5106,5121,5102,5155,5278,5469,5717,5956,6116,6210,0,0,0,8,12,8,4,0,11,2,1,1,4,11.07,24.23,24.86,39.84,13.88,40.88,26.93,4.91,49.13,50.87,45.85,67.36,4.53886
carmen del darien,4705,4963,5283,5754,6605,8119,10049,12249,14360,16128,17474,18433,18930,0,0,0,0,1,0,0,1,2,3,0,3,11,13.2,26.71,26.01,34.08,13.9,27.75,21.95,2.95,52.58,47.42,77.81,86.71,0.798936
certegui,5895,5896,6005,6070,5934,5529,5380,5409,5459,5511,5589,5635,5705,0,0,0,2,9,3,3,1,4,1,2,9,0,9.48,20.48,25.15,44.89,14.33,43.03,29.68,2.84,46.47,53.53,45.39,64.87,4.763158
condoto,13575,13967,14324,14661,14860,14822,14828,14846,14573,13946,13173,12663,12464,1,0,1,16,22,16,4,4,4,5,1,1,3,8.77,21.88,25.92,43.43,10.28,51.86,23.32,8.34,47.69,52.31,53.19,70.26,4.283146
el carmen de atrato,7286,7294,7353,7443,7520,7515,7565,7686,7763,7895,8048,8193,8197,0,0,0,1,1,1,1,1,0,2,0,1,1,10.04,20.67,25.3,43.99,12.68,37.53,30.96,5.33,49.89,50.11,34.25,63.24,2.371681
el litoral del san juan,8104,8512,8961,9505,10295,11439,13021,15009,17106,19021,20556,21669,22242,0,0,0,1,0,13,16,9,4,0,1,0,2,14.38,26.93,27.79,30.9,15.27,31.84,15.61,2.04,51.1,48.9,75.86,78.26,0.7419439999999999
istmina,25889,26699,27451,28200,28736,28835,29133,29550,29842,30166,30513,30742,30739,3,10,7,138,129,86,14,12,26,25,1,4,11,9.54,22.44,28.62,39.4,10.14,49.45,30.22,5.94,48.29,51.71,70.6,58.84,3.282661
jurado,3089,3209,3326,3469,3769,4332,4781,5127,5580,6095,6458,6685,6774,0,0,0,2,0,0,2,1,0,0,0,0,2,12.9,27.46,25.93,33.71,11.51,34.96,13.83,4.82,51.19,48.81,30.85,68.6,1.041331
lloro,8960,9333,9684,10074,10514,10931,11074,10790,10284,9913,9786,9786,9850,0,0,0,2,0,0,1,8,0,6,1,0,0,23.0,20.12,23.23,33.66,17.88,27.98,20.84,5.3,50.68,49.32,66.61,74.78,2.629834
medio atrato,10096,10526,10902,11172,11298,11245,11037,10723,10439,10388,10490,10672,10817,0,1,0,2,0,0,1,0,5,1,0,0,1,9.91,24.69,28.76,36.64,18.89,27.24,31.57,3.5,51.58,48.42,83.35,83.82,5.0
medio baudo,9758,9890,10244,10668,11271,12304,13222,13680,13969,14310,14744,15109,15405,0,0,1,14,11,4,2,3,20,60,15,1,15,13.14,27.55,24.38,34.93,23.43,27.89,20.94,3.55,50.38,49.62,74.2,84.23,0.745041
medio san juan,10205,10495,10790,11090,11172,11007,10816,10591,10396,10361,10450,10579,10718,0,0,3,21,0,7,1,0,9,6,3,0,3,11.28,24.28,23.9,40.55,16.76,36.97,23.96,4.11,48.8,51.2,69.75,76.93,4.487097
novita,6293,6548,6792,7042,7261,7378,7624,8073,8609,9007,9146,9153,9116,0,0,4,11,49,13,0,3,1,3,0,1,3,10.82,23.48,24.25,41.45,15.62,37.11,36.6,2.95,50.16,49.84,53.75,69.05,1.978146
nuqui,6998,7268,7532,7783,8042,8278,9084,11116,13576,15022,15773,16223,16459,0,0,1,0,0,0,3,3,1,2,1,1,2,13.28,26.01,25.29,35.42,14.67,33.51,19.21,5.12,51.04,48.96,38.47,76.83,0.901674
rio iro,6343,6505,6583,6497,6235,5766,5398,5189,5144,5237,5368,5467,5537,0,0,0,23,24,4,0,1,15,5,0,0,1,10.72,27.6,23.16,38.52,21.15,31.25,17.66,7.29,49.52,50.48,17.0,78.39,2.475
rio quito,4842,4419,4121,3915,3744,3650,3847,4924,6643,7650,8034,8236,8355,1,0,1,0,0,0,1,4,0,2,2,1,3,11.2,24.43,27.56,36.81,17.67,36.34,28.24,7.51,47.87,52.13,53.93,76.1,3.048571
riosucio,29006,29894,30910,32254,35560,42527,47260,49082,50015,51066,52335,53449,54458,0,5,3,0,0,1,3,0,3,66,3,2,24,8.83,22.0,26.3,42.87,13.28,35.77,31.27,4.92,54.02,45.98,70.74,73.7,1.3530799999999998
san jose del palmar,4582,4805,5016,5200,5349,5410,5489,5576,5511,5361,5207,5114,5015,1,0,1,2,2,1,6,0,2,2,1,1,2,10.82,24.11,24.47,40.61,16.61,28.89,39.25,1.29,51.62,48.38,29.6,67.43,1.56811
sipi,3805,3960,4055,4117,4073,3971,3747,3464,3247,3155,3137,3174,3202,1,0,0,4,7,3,0,0,2,1,0,0,2,11.31,27.35,27.38,33.96,17.99,36.52,28.32,4.88,53.79,46.21,76.37,76.88,4.326531
tado,17597,18131,18631,19064,19164,18845,18762,18879,18853,18621,18277,18011,17925,2,0,1,3,6,4,3,3,3,4,2,0,3,11.06,21.89,25.38,41.66,13.56,42.64,25.75,4.58,46.95,53.05,53.95,75.78,6.04328
unguia,12097,12655,13148,13571,13842,13719,13368,12928,12566,12513,12672,12854,12821,0,21,3,13,3,0,0,3,1,1,1,4,25,10.61,25.74,25.21,38.44,11.57,37.87,28.4,2.22,51.59,48.41,33.87,61.81,3.115966
union panamericana,5918,5993,6031,6052,6041,5963,5974,6062,6204,6415,6652,6816,6909,1,0,2,17,24,7,3,0,0,2,0,1,6,9.04,21.18,26.86,42.91,10.74,47.27,30.52,6.9,49.14,50.86,60.33,59.01,1.24875
neiva,327451,330614,333734,336872,339441,341357,343653,346444,349242,351933,354692,357392,361049,1542,1561,2248,2327,673,3128,2445,3564,1850,1294,532,567,5459,7.33,15.19,25.62,51.86,4.0,62.42,38.83,5.54,47.86,52.14,2.44,33.99,63.426272
acevedo,27739,27899,28054,28142,28175,27992,27601,27027,26252,25511,24924,24774,25046,66,47,16,35,6,31,33,35,31,87,11,4,25,9.27,21.85,27.94,40.94,5.8,38.47,35.23,2.38,51.89,48.11,34.43,73.5,11.455882
agrado,8872,8951,9040,9141,9254,9342,9405,9380,9185,8962,8823,8800,8866,28,6,4,3,6,80,49,26,56,87,2,24,46,8.33,18.64,26.22,46.81,9.78,40.65,30.01,6.89,49.78,50.22,18.73,70.68,11.22973
aipe,18317,18199,18185,18178,18109,17824,17404,16914,16525,16264,16158,16163,16361,10,14,19,223,62,316,126,151,309,99,23,118,426,8.5,17.76,25.59,48.15,8.81,47.99,31.42,5.49,49.67,50.33,13.37,65.57,5.266833
algeciras,24830,24751,24420,23953,23464,23001,22726,22599,22515,22453,22408,22481,22498,38,22,14,292,5,125,152,121,144,313,69,35,385,7.57,19.25,26.95,46.23,8.91,37.73,36.81,1.61,51.56,48.44,17.0,67.92,10.242105
altamira,3742,3766,3796,3825,3846,3869,3899,3957,4033,4167,4232,4275,4323,6,0,1,33,4,3,4,15,13,23,0,3,8,6.72,14.63,30.53,48.12,5.64,45.41,30.13,4.25,55.03,44.97,8.45,71.07,6.62234
baraya,4540,4580,4615,4714,5105,6736,8181,8488,8527,8482,8402,8338,8282,14,6,4,39,27,27,12,55,29,12,16,7,225,6.17,17.25,27.17,49.41,11.26,39.5,21.55,14.63,53.9,46.1,22.13,74.69,2.654667
campoalegre,32131,32250,32425,32643,32828,32901,32976,32915,32574,31925,31316,31087,31195,65,29,56,44,61,121,113,520,221,139,43,8,371,7.47,16.55,24.89,51.09,7.44,48.64,38.11,3.93,49.61,50.39,13.22,64.78,13.7882
colombia,9544,9669,9757,9827,9899,9881,9840,9688,9208,8409,7647,7285,7136,9,10,5,17,32,15,30,8,73,12,8,1,117,7.97,17.81,23.85,50.37,10.81,31.32,21.11,6.36,54.19,45.81,27.15,69.78,1.290931
elias,3506,3530,3554,3619,3754,4001,4151,4206,4204,4200,4195,4211,4257,11,1,1,13,5,19,2,13,97,20,2,0,20,6.58,18.04,24.63,50.75,6.32,41.19,33.16,2.86,51.95,48.05,8.89,72.79,13.939024
garzon,68357,68355,68677,69177,69868,70649,71196,71611,71888,72005,72028,72382,73292,299,158,90,719,96,538,572,496,544,313,94,88,519,8.24,17.97,26.39,47.4,6.25,47.1,37.35,3.61,50.26,49.74,8.12,64.2,34.498276000000004
gigante,26498,25849,25431,25162,24992,24809,24731,24694,24673,24595,24508,24583,24634,5,17,67,236,12,46,20,83,57,55,7,1,41,7.28,18.14,25.28,49.31,7.39,45.85,35.61,3.62,49.79,50.21,12.01,66.48,11.186901
guadalupe,17049,17205,17349,17471,17545,17604,17660,17738,17802,17811,17786,17890,18104,23,16,20,59,29,91,83,110,61,136,3,3,155,8.36,19.87,25.78,45.99,7.67,38.99,34.95,3.46,50.98,49.02,20.67,69.8,17.653543
hobo,6817,6889,6941,6988,7031,7066,7081,7138,7175,7212,7246,7286,7335,13,10,14,44,9,47,77,61,190,30,11,2,159,8.43,17.85,25.78,47.94,8.52,40.31,37.93,3.39,50.87,49.13,17.91,70.78,10.0
iquira,10524,10601,10695,10735,10756,10734,10596,10356,9979,9596,9322,9248,9291,18,11,21,88,26,18,16,33,41,37,7,8,70,9.32,19.98,25.96,44.74,7.4,38.34,34.15,3.43,51.17,48.83,19.45,63.28,4.795113
isnos,24994,25188,25370,25549,25694,25739,25834,25949,25975,25721,25304,25186,25463,1,3,3,23,9,52,6,20,9,16,10,9,16,7.88,17.65,27.73,46.74,8.28,38.1,36.87,3.24,50.71,49.29,18.18,83.56,11.146341
la argentina,12275,12367,12462,12546,12603,12650,12672,12745,12788,12839,12823,12866,13021,2,1,2,31,1,2,4,4,2,10,0,0,2,8.68,20.04,26.81,44.46,6.44,38.93,33.01,1.79,50.82,49.18,16.17,64.57,5.821086
la plata,55893,56467,56973,57531,58362,59518,60260,60637,60805,60819,60730,61026,61735,230,52,209,506,153,143,112,270,275,464,67,33,197,9.27,19.7,26.93,44.11,7.24,42.96,34.6,3.28,50.7,49.3,21.51,72.98,11.634146
nataga,6131,6168,6219,6299,6425,6650,6777,6764,6713,6617,6496,6469,6520,6,1,6,69,1,12,12,3,4,1,2,0,5,10.07,19.88,26.02,44.03,8.87,38.08,37.11,1.1,51.49,48.51,21.33,67.9,12.714286
oporapa,11592,11742,11800,11832,11842,11814,11800,11810,11775,11707,11611,11629,11779,1,0,1,3,1,3,6,5,14,3,3,1,3,9.91,22.34,27.67,40.09,7.97,36.41,22.37,10.01,51.07,48.93,13.02,72.03,15.382979
paicol,5796,5881,5952,6018,6139,6366,6496,6540,6561,6550,6561,6583,6655,16,16,3,23,0,4,41,18,13,40,2,2,54,8.22,18.09,25.64,48.05,6.46,44.41,31.71,2.3,51.28,48.72,19.93,72.85,6.318792
palermo,27139,27168,27265,27339,27320,27135,26869,26653,26463,26323,26194,26279,26590,55,92,75,126,43,179,192,196,87,70,18,16,617,7.79,16.38,25.54,50.29,7.1,47.96,34.62,5.84,50.95,49.05,15.58,59.79,8.08559
palestina,10951,11057,11128,11194,11251,11252,11234,11277,11260,11215,11134,11159,11282,2,2,1,36,3,5,6,9,7,9,4,3,7,8.81,19.84,26.91,44.44,7.33,36.79,30.6,5.22,52.09,47.91,24.99,78.13,12.640909
pital,13437,13556,13636,13733,13805,13841,13889,13933,13940,13901,13822,13787,13851,3,3,5,20,35,42,30,28,12,12,8,20,58,9.86,19.92,25.8,44.41,6.89,39.2,36.4,2.68,50.83,49.17,20.49,66.74,16.817733999999998
pitalito,107462,108293,109131,109919,110591,111051,111786,113033,115131,118234,121528,124359,126682,251,83,250,1750,92,267,239,313,328,304,103,60,624,8.06,17.55,28.1,46.29,5.21,48.68,35.7,3.98,49.65,50.35,11.27,57.53,58.741117
rivera,17268,17402,17527,17677,17817,17988,18385,19322,20915,22656,23732,24312,24757,35,9,43,86,90,204,116,167,101,76,29,33,394,7.09,16.07,26.95,49.88,5.99,51.84,31.5,5.33,53.17,46.83,7.02,63.34,15.073563
saladoblanco,10636,10661,10685,10700,10712,10700,10685,10686,10665,10581,10481,10444,10502,3,1,4,16,8,13,9,1,1,3,1,2,25,9.59,20.95,27.45,42.01,8.51,32.59,30.01,5.1,51.47,48.53,17.55,74.79,9.724138
san agustin,31669,31984,32245,32487,32682,32759,32851,32970,33029,32999,32900,33028,33391,9,6,15,220,116,73,23,30,26,29,13,11,61,7.9,16.59,26.96,48.55,7.07,40.36,36.64,3.98,50.99,49.01,14.73,77.25,7.421374
santa maria,10555,10583,10610,10644,10657,10638,10627,10617,10600,10508,10424,10405,10422,38,20,87,67,17,6,5,26,4,1,5,1,22,9.55,18.3,26.19,45.96,7.87,37.93,37.62,1.78,52.31,47.69,34.84,65.33,9.474522
suaza,15327,15449,15580,15705,15993,16439,16870,17513,18687,20191,21225,21853,22342,17,5,5,28,10,34,20,22,40,38,19,9,139,9.37,18.91,26.96,44.76,7.62,37.9,36.58,3.42,51.74,48.26,32.23,78.01,17.0
tarqui,16659,16790,16926,17070,17314,17612,17801,17877,17836,17690,17501,17440,17587,40,53,0,48,11,81,13,46,58,53,21,3,252,8.47,19.33,27.42,44.79,6.53,39.22,30.68,4.25,51.3,48.7,17.07,69.2,14.785714000000002
tesalia,10029,10210,10328,10416,10486,10508,10562,10604,10635,10637,10646,10697,10815,10,15,85,171,13,58,122,48,38,24,8,2,81,7.79,18.09,25.32,48.8,6.72,46.92,31.56,5.53,50.74,49.26,8.19,74.29,7.619302999999999
tello,13817,13806,13741,13696,13670,13582,13508,13416,13157,12699,12134,11800,11775,9,13,26,7,40,74,25,49,116,21,12,11,175,8.04,17.25,25.6,49.11,9.34,40.38,31.81,3.9,52.46,47.54,11.51,66.85,5.517921
teruel,8525,8599,8667,8724,8754,8772,8752,8718,8604,8402,8169,8052,8064,16,12,24,32,90,22,16,43,12,13,8,1,50,8.5,17.45,26.1,47.95,9.29,39.8,37.65,1.97,51.86,48.14,25.75,74.39,4.288577
timana,21069,21278,21474,21621,21733,21802,21845,21916,21917,21871,21751,21799,21921,138,24,30,173,186,183,65,169,135,91,42,9,182,7.57,17.27,26.1,49.06,7.75,43.14,33.85,2.28,51.04,48.96,9.93,72.43,32.93956
villavieja,7626,7693,7748,7805,7844,7846,7859,7853,7797,7651,7429,7288,7247,28,20,8,25,8,11,19,13,16,14,12,10,106,7.26,15.74,22.7,54.3,9.69,40.54,29.84,5.57,51.58,48.42,10.94,76.49,3.255224
yaguara,8099,8172,8236,8227,8084,7731,7584,7588,7624,7654,7693,7730,7774,21,32,11,105,44,16,36,105,20,9,10,2,144,7.21,14.05,24.96,53.78,6.75,52.32,31.42,8.01,50.64,49.36,6.72,69.37,6.9179330000000006
riohacha,139788,142463,146061,149950,154011,156579,159150,162988,167339,172716,179044,188014,195747,104,122,226,189,199,123,561,317,241,51,25,411,343,11.52,21.78,28.02,38.68,9.58,50.97,30.95,6.09,48.86,51.14,28.1,68.07,15.60609
albania,18080,18743,19391,20037,20699,21261,21863,22751,24047,25843,27554,29148,30848,0,2,0,0,0,62,43,136,16,6,3,37,39,11.72,23.17,30.54,34.57,9.29,48.58,25.77,5.81,50.41,49.59,35.17,83.56,16.607059
barrancas,24940,25809,26670,27533,28404,29065,29783,30651,31638,32804,34124,35743,37170,30,9,21,0,1,21,189,105,62,13,1,148,35,11.15,20.44,29.17,39.24,6.45,54.34,27.0,5.88,49.47,50.53,30.44,79.21,9.467655
dibulla,20848,21731,22630,23570,24515,25438,26451,27674,29264,31496,34502,37740,40051,15,3,30,21,13,13,81,57,27,12,0,45,34,12.58,26.02,27.38,34.01,23.72,33.01,25.86,3.97,51.13,48.87,42.81,84.16,5.216167
distraccion,11263,11676,12056,12404,12632,12674,12491,12205,11998,12088,12462,13016,13706,3,1,5,12,4,6,18,33,12,21,1,18,13,9.69,21.3,28.4,40.62,8.26,55.07,24.95,4.76,50.81,49.19,23.99,75.72,14.155172
el molino,6719,6917,7105,7312,7503,7598,7692,7814,7829,7655,7307,7185,7574,23,9,0,20,1,1,54,25,21,4,0,29,1,7.34,17.56,24.97,50.12,7.21,54.93,29.64,8.72,50.19,49.81,16.91,73.8,10.147368
fonseca,33164,35424,36900,38075,39143,39716,40279,41061,41799,42362,42434,42772,43728,8,5,3,7,4,13,63,88,91,11,1,104,29,10.34,20.16,27.31,42.19,6.2,56.59,29.66,5.04,49.17,50.83,18.26,74.46,16.39426
hatonuevo,13894,14362,14811,15263,15726,16050,16382,16860,17452,18240,19083,20044,21151,3,21,7,7,4,2,25,86,18,6,1,38,24,10.9,22.19,29.87,37.04,6.48,54.62,25.96,6.65,49.69,50.31,33.94,80.42,19.072289
la jagua del pilar,2512,2596,2674,2765,2836,2881,2947,3009,3086,3204,3323,3498,3686,1,2,8,0,0,0,1,0,0,2,1,0,5,9.28,21.07,27.1,42.55,9.86,49.22,28.12,7.18,52.47,47.53,20.34,83.22,2.805243
maicao,101274,105375,109188,113489,121508,134221,142467,147296,151660,156729,162601,170582,178832,99,125,113,154,44,157,595,163,44,8,28,266,228,11.95,22.42,28.53,37.1,10.67,45.6,24.66,6.98,48.44,51.56,51.22,79.01,23.921998
manaure,64081,66406,68609,69794,65720,58622,58224,60465,63883,69021,75878,83072,88881,69,57,28,50,30,59,77,29,9,1,8,57,24,15.81,27.77,26.82,29.61,22.52,25.89,18.12,7.56,48.87,51.13,89.06,91.68,9.717402
san juan del cesar,27787,28730,29707,30870,33352,37656,40353,41730,42864,44149,45410,46953,48387,40,72,13,66,24,128,105,270,97,50,6,122,61,8.89,19.09,26.53,45.49,7.13,56.49,31.09,7.7,49.41,50.59,23.37,75.05,10.752263
uribia,105804,109360,113478,117868,122387,127001,131877,137208,143102,149698,156559,163462,177815,16,13,12,30,9,43,98,112,11,10,80,171,113,12.45,25.39,28.52,33.64,26.2,21.48,13.96,6.8,48.33,51.67,89.88,91.0,4.67122
urumita,12811,13276,13727,14153,14569,14792,14857,14645,13738,12309,11233,10985,11114,3,11,2,25,2,4,25,11,29,3,0,26,5,8.5,17.5,25.99,48.01,6.15,59.63,28.16,7.09,49.5,50.5,13.91,80.53,8.082067
villanueva,24873,26037,26926,27725,28483,28868,29137,29458,29284,28489,27788,28346,28816,231,169,290,246,100,49,113,66,143,17,4,28,91,8.94,19.51,25.36,46.18,6.83,57.03,29.83,7.19,48.94,51.06,7.72,78.32,23.637736
santa marta,430387,435386,440329,445056,449441,453494,457556,461618,466106,472725,482113,499192,521239,903,321,410,1055,241,291,1748,755,270,117,55,947,695,7.98,17.4,27.05,47.57,3.77,64.48,35.52,6.19,48.42,51.58,15.92,38.4,53.266748
algarrobo,11984,12126,12264,12391,12518,12644,12818,13069,13482,14134,14806,15511,16194,8,1,0,4,1,0,9,10,1,0,0,21,23,10.64,23.36,26.49,39.51,12.02,44.02,29.09,2.89,51.97,48.03,11.28,74.49,8.384615
aracataca,36555,36979,37392,37787,38142,38443,38735,38969,39143,39318,39354,39857,40726,14,5,6,3,0,0,26,4,17,3,2,81,202,9.72,22.2,28.12,39.96,12.54,46.96,27.59,5.91,50.73,49.27,30.6,86.15,5.007324
ariguani,30923,30946,31051,31184,31323,31471,31571,31518,31212,30609,30040,30218,31077,7,3,2,32,2,171,191,95,10,14,3,130,307,9.4,21.76,25.2,43.64,12.72,45.06,35.72,3.4,51.22,48.78,30.6,75.41,6.586572
cerro de san antonio,8719,8866,8991,9095,9172,9259,9344,9414,9469,9549,9654,9890,9885,0,1,0,0,1,0,1,0,0,1,0,0,14,8.57,20.83,24.01,46.58,19.08,40.99,32.91,2.83,51.76,48.24,26.17,83.74,10.88587
chivolo,16652,16861,17044,17233,17422,17641,18011,18671,19698,20625,21202,21862,22715,1,3,0,2,0,1,62,96,15,2,0,5,267,9.5,22.26,25.41,42.83,12.1,43.04,31.01,5.54,53.38,46.62,28.91,81.67,8.778409
cienaga,105755,107043,108323,109505,110593,111602,112580,113492,114444,115667,117133,120071,122285,32,48,139,31,10,22,272,77,101,20,4,48,216,8.98,19.42,27.55,44.05,7.57,55.54,30.62,7.25,49.65,50.35,15.75,74.25,15.582781
