municipal,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,cases_2007,cases_2008,cases_2009,cases_2010,cases_2011,cases_2012,cases_2013,cases_2014,cases_2015,cases_2016,cases_2017,cases_2018,cases_2019,age_0_to_4,age_5_to_14,age_15_to_29,age_30_and_up,illiterate,secondary_education,employed,unemployed,men,women,households_without_water_access,households_without_internet_access,houses_per_km2
tuchin,0,41211,42053,42612,43134,43748,44820,46112,47057,47636,47939,52606,53744,0,0,2,12,33,10,54,113,29,19,6,16,123,10.47,23.61,29.64,36.29,21.36,37.41,23.9,3.44,51.74,48.26,56.15,93.23,60.921875
valencia,36643,37219,37649,38090,38448,38632,38526,38007,37055,36144,35616,35694,36042,1,6,4,12,9,18,32,47,76,18,8,410,269,7.56,22.14,23.81,46.49,13.08,44.01,29.98,4.33,50.32,49.68,37.9,80.5,9.179431
agua de dios,12004,12207,12442,12700,12934,13079,13209,13330,13303,12891,12161,11685,11966,6,13,5,62,3,64,72,137,40,28,15,27,227,4.59,12.27,19.0,64.14,5.21,54.74,34.49,4.36,48.3,51.7,3.5,59.66,46.797619
alban,6181,6252,6320,6377,6331,6172,6123,6149,6181,6238,6287,6438,6650,0,0,1,2,0,2,0,1,0,1,0,0,0,5.95,14.85,25.03,54.17,6.89,47.28,37.66,2.8,51.6,48.4,12.34,64.31,37.368421000000005
anapoima,12061,12227,12389,12528,12447,12144,12098,12292,12630,13155,13835,14519,15315,15,107,6,174,36,77,181,129,71,73,21,11,124,5.84,13.87,21.83,58.46,4.86,52.42,44.92,2.81,49.67,50.33,7.28,38.45,36.532258
anolaima,13586,13740,13918,14111,14234,14358,14465,14500,14408,14136,13861,13816,14161,0,0,2,9,3,3,2,10,41,40,1,0,5,5.51,13.94,19.26,61.3,7.68,45.21,42.03,2.97,51.52,48.48,9.79,69.53,40.882353
arbelaez,11973,12144,12323,12492,12646,12745,12726,12468,11911,11344,11005,10860,10825,3,4,0,57,12,34,137,6,12,36,0,3,7,4.93,14.8,20.16,60.11,6.32,49.13,40.32,2.85,50.96,49.04,8.14,60.52,22.072368
beltran,1824,1829,1842,1841,1835,1809,1798,1808,1803,1803,1783,1789,1832,0,0,1,10,0,1,4,3,1,1,2,0,3,5.81,15.76,22.79,55.64,10.41,41.22,29.88,3.37,52.33,47.67,15.41,70.43,3.042654
bituima,2511,2507,2519,2509,2529,2477,2463,2458,2475,2461,2439,2467,2507,0,2,0,9,0,1,10,16,1,22,0,1,0,4.72,13.17,16.1,66.01,8.99,36.87,41.41,1.8,53.91,46.09,19.4,64.74,14.639344
bojaca,8083,8103,8195,8349,8521,8623,8733,8911,9137,9373,9618,9913,10524,0,0,0,1,0,1,2,1,2,3,0,0,0,6.93,16.79,27.31,48.98,3.98,56.11,45.9,2.81,50.29,49.71,5.55,52.51,27.431193
cabrera,4704,4743,4790,4832,4812,4716,4683,4688,4707,4711,4692,4722,4885,0,0,0,4,0,0,1,1,4,1,0,1,0,7.14,18.42,26.68,47.76,5.45,39.45,37.39,4.3,55.96,44.04,54.15,81.97,3.062361
cachipay,9855,9947,10030,10101,10039,9781,9652,9708,9779,9846,9854,9972,10324,1,1,2,23,2,2,12,6,2,13,3,2,52,5.94,14.34,19.69,60.03,6.57,51.13,44.77,3.39,51.01,48.99,6.85,65.25,62.196429
cajica,47350,48179,49013,49979,50973,52035,53889,57499,63604,71187,77472,82244,87866,0,1,0,2,1,2,0,1,1,1,0,0,0,6.53,14.95,24.96,53.57,1.97,69.0,47.97,4.24,48.08,51.92,0.31,29.41,496.137255
caparrapi,14533,14691,14815,14816,14253,13089,12540,12483,12513,12504,12469,12569,12714,2,1,16,64,9,15,25,8,8,15,0,3,11,4.66,15.02,18.34,61.98,10.26,33.36,44.38,1.07,52.85,47.15,34.9,69.46,6.488636
caqueza,16904,17134,17382,17622,17831,17995,18072,18047,17765,17359,17054,17099,17480,0,3,0,10,1,10,64,47,3,10,6,1,12,6.66,15.26,22.55,55.52,3.41,48.88,42.13,2.57,50.85,49.15,32.55,61.52,45.65
